"";"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO";"probabilidad";"potencial"
"167";"CLI0047588644";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER";0,228462942679187;0
"168";"CLI0045105679";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,560808279561189;0
"169";"CLI0020903774";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,687583697827681;0
"170";"CLI0045519491";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"171";"CLI0006049782";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,078516554738811;0
"172";"CLI0046611464";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER";0,307472585614991;0
"173";"CLI0044490434";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"174";"CLI0045329663";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER";0,30488867681578;0
"175";"CLI0024662508";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE";0,0798526835562102;0
"176";"CLI0016512118";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"MUJER";0,205964757093349;0
"177";"CLI0032930329";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER";0,500060048724275;0
"178";"CLI0015854237";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER";0,204512602166266;0
"179";"CLI0042391314";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE";0,127338009356624;0
"180";"CLI0010087255";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER";0,835880185181465;1
"181";"CLI0043031825";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197511856002439;0
"182";"CLI0017815880";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,128739313139032;0
"183";"CLI0040508347";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,427170231874375;0
"184";"CLI0040714680";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE";0,560004986469388;0
"185";"CLI0025448241";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER";0,500060048724275;0
"186";"CLI0045281593";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE";0,199910438247119;0
"187";"CLI0010445831";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,301787286134449;0
"188";"CLI0017882402";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER";0,304970946559129;0
"189";"CLI0070839237";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"190";"CLI0032799808";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"HOMBRE";0,164256226805519;0
